,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6.754944819,0,1133.69705,32.66042379,26.77668573,18.83429561,20284.63858,197.2154174,84.24540772,2.906261032,1.179945049,1.552907122,0.040922498,0.588448379,2.610660661
1,8.667123175,0,1159.167228,6.545721727,9.766970298,124.5579936,15837.62512,197.2154174,100.2368775,48492.85213,0.53968942,0.119753612,0,0.166761626,138.1168325
2,5.349324328,0,1133.827116,1.413448557,12.61199266,38.70251456,75.47712436,0,163.3144102,123982.543,0.380164905,0.737525483,0.468852613,0.169324705,92.06995077
3,10.38793715,0,1086.928392,25.57266423,10.56362626,6.221614588,27.6778858,0,81.08001054,7.42346043,0.334705806,0,0.212685646,0.702809914,55.82108679
4,15.45611649,291.3804497,1122.610871,0.542629206,6.205108373,51.82417033,2423.804558,198.6364927,182.5412467,998023.7259,0.572636881,0,2.180390098,0.020263792,205.3398536
5,8.618429033,14.64745358,1080.789906,410.2498097,11.6625179,27.66065894,2478.474864,198.1615355,31.63911931,9.163812268,1.780501363,0.02223499,0.907336683,0.231286224,101.0801525
6,13.03171405,0,1085.330474,103.6042729,37.12225585,41.99282267,182.4609745,197.6903745,64.00024257,58.40491607,0.906376026,0.06329789,1.093583286,0.252407697,79.86780509
7,9.172768595,0,1093.002584,406.7879355,170.7283195,23.19226969,119.5117288,0,39.82020467,24.51567516,10.26208581,335.3758169,6.192721282,5.71603904,63.78996888
8,9.755605116,0,1099.090089,807.0985482,12.37752652,18.98029044,102.4909405,188.1514392,6.709918932,10.55148643,0.326760779,0.937909884,0.982255163,0.26424738,101.0630718
9,9.115361454,0,1100.477917,0.010190596,142.9711169,22.0194742,181.688291,0,4.414664423,35.65172713,13.17817044,0.24694148,0.514914793,0.160581547,82.85480169
10,9.454370204,0,1096.4355,501.7769642,45.5054199,60.61448663,200.3480519,151.7322841,405.2202386,14.56822355,1.441605446,0.404022361,0.002745287,0.176696649,101.532359
11,10.9363373,15.88997001,1105.922442,441.5794271,95.89132374,63.11231329,266.0672595,27.43307619,155.4722188,16.97839634,4.947418604,0.59533042,0.040922498,0.067150805,102.4561931
12,10.37491067,15.45530277,1106.143552,526.4414071,41.45025038,53.01905462,188.1388373,147.5319162,6.74006191,14.58215245,1.440008349,0.510583222,0.01699216,0.051068557,102.5653982
13,8.130149143,0,1105.05067,486.6705777,49.41160142,42.82166278,211.4581686,109.0244837,276.1694567,20.05730119,1.665634514,0.137736391,0.173820924,0.104222657,102.8228976
14,7.880009296,80.38354009,1105.585345,357.1691152,54.13723321,74.3482381,9328.848967,0,114.5462662,12891.73008,212.419796,0.27429979,0.166630417,0.036210901,104.0460919
15,5.700816572,10.00718895,1090.185846,410.0005237,66.34733581,46.616856,17499.17865,0,206.7661719,24.57758902,0.523199356,0.002974203,0.509782752,0.257312332,102.7318564
16,7.330312382,14.5146086,1118.608192,0.038933289,179.6651454,29.79151018,11814.99202,0,2.591720964,48.74632402,95.8291543,0,0.848736332,0.07837056,102.2887807
17,6.073969966,7.87358564,1100.858182,411.2964037,54.23881361,44.8674337,13779.42006,0,195.2984191,207699.0401,2.021941208,0,0.228015886,0.081594759,74.39189554
