,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,,-0.923076923,,0.629370629,0.517398346,-0.741258741,,,-0.678321678,-0.475524476,-0.503496503,-0.355305754,-0.146853147,0.34965035
1,,,,,,,,,,,,,,,
2,-0.923076923,,1,,-0.622377622,-0.502615537,0.776223776,,,0.671328671,0.496503497,0.468531469,0.431442701,0.230769231,-0.377622378
3,,,,,,,,,,,,,,,
4,0.629370629,,-0.622377622,,1,0.203263636,-0.839160839,,,-0.755244755,-0.629370629,-0.097902098,-0.210282997,-0.559440559,0.853146853
5,0.517398346,,-0.502615537,,0.203263636,1,-0.214350744,,,-0.406527272,-0.447179999,-0.894359999,-0.26441634,-0.003695702,-0.092392562
6,-0.741258741,,0.776223776,,-0.839160839,-0.214350744,1,,,0.657342657,0.461538462,0.230769231,0.348054616,0.545454545,-0.713286713
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,-0.678321678,,0.671328671,,-0.755244755,-0.406527272,0.657342657,,,1,0.902097902,0.398601399,0.652602405,0.034965035,-0.447552448
10,-0.475524476,,0.496503497,,-0.629370629,-0.447179999,0.461538462,,,0.902097902,1,0.384615385,0.576465458,-0.027972028,-0.433566434
11,-0.503496503,,0.468531469,,-0.097902098,-0.894359999,0.230769231,,,0.398601399,0.384615385,1,0.290045514,-0.118881119,0.174825175
12,-0.355305754,,0.431442701,,-0.210282997,-0.26441634,0.348054616,,,0.652602405,0.576465458,0.290045514,1,-0.039881258,-0.014502276
13,-0.146853147,,0.230769231,,-0.559440559,-0.003695702,0.545454545,,,0.034965035,-0.027972028,-0.118881119,-0.039881258,1,-0.72027972
14,0.34965035,,-0.377622378,,0.853146853,-0.092392562,-0.713286713,,,-0.447552448,-0.433566434,0.174825175,-0.014502276,-0.72027972,1
